time_instant,iteration,absolute_error_norm,relative_error_norm
1.0,1,0.012031713188020718,0.14713425954714454
1.0,2,0.010273176750197816,0.1253782380074026
1.0,3,0.00628066477354856,0.07642960565440063
1.0,4,0.004115768712068105,0.05007691905566674
1.0,5,0.0028264907392108692,0.034471237815790264
1.0,6,0.0019143911908194218,0.02338615464897531
1.0,7,0.001293999265211931,0.01581758579304292
1.0,8,0.0008960181608152541,0.0109505538277804
1.0,9,0.0006476052685220586,0.007908968841494737
1.0,10,0.000490027343569998,0.005978775025448753
1.0,11,0.0003853855982845029,0.004697099765933477
1.0,12,0.0003123039727215514,0.0038023367553265356
1.0,13,0.0002588145574489755,0.0031478695521442368
1.0,14,0.00021819921776694055,0.002651325164715456
1.0,15,0.00018640535474176903,0.0022629854210844537
1.0,16,0.0001608764727150658,0.0019514740130224684
1.0,17,0.00013995263201965608,0.0016964105771600636
1.0,18,0.00012251838210191156,0.0014840961164220461
1.0,19,0.00010779788336008058,0.0013050013273779824
1.0,20,9.523475432765586e-05,0.0011522927607108282
1.0,21,8.441905081359046e-05,0.0010209366135214184
1.0,22,7.504125565794826e-05,0.0009071337423250506
1.0,23,6.686246172029681e-05,0.0008079533334616792
1.0,24,5.96945992805328e-05,0.0007210898440587084
1.0,25,5.338703906777217e-05,0.0006446982226322624
1.0,26,4.78173178377767e-05,0.0005772797742588623
1.0,27,4.288457847600007e-05,0.0005176013951137044
1.0,28,3.8504831904557885e-05,0.0004646372183794895
1.0,29,3.4607466050993895e-05,0.0004175256122726514
1.0,30,3.113262552074527e-05,0.0003755369041414165
1.0,31,2.802921101790032e-05,0.0003380487434811855
1.0,32,2.5253328053604593e-05,0.0003045270051837484
1.0,33,2.2767067026632112e-05,0.0002745107800983433
1.0,34,2.05375316598296e-05,0.00024760042924960884
1.0,35,1.8536056358419162e-05,0.00022344796838144233
1.0,36,1.6737569260112297e-05,0.0002017492491599252
1.0,37,1.5120069060826374e-05,0.00018223754289385343
1.0,38,1.3664191721103018e-05,0.0001646782316285531
1.0,39,1.2352848928664071e-05,0.0001488643827328579
1.0,40,1.1170924400536704e-05,0.00013461303509750079
1.0,41,1.0105017217970999e-05,0.00012176206350728925
1.0,42,9.14322371368394e-06,0.00011016751651616127
1.0,43,8.274951191173287e-06,9.97013449237639e-05
1.0,44,7.49075810336575e-06,9.024945461738909e-05
1.0,45,6.7822163592150225e-06,8.171003041991987e-05
1.0,46,6.1417922395967005e-06,7.399208763137249e-05
1.0,47,5.5627430442178975e-06,6.70142158644641e-05
1.0,48,5.0390270997326146e-06,6.070348605439126e-05
1.0,49,4.565225165834867e-06,5.4994496541353237e-05
1.0,50,4.136471604633202e-06,4.982853817627985e-05
1.0,51,3.7483939443460236e-06,4.5152861675380676e-05
1.0,52,3.3970596860460936e-06,4.092003312972394e-05
1.0,53,3.078929380663113e-06,3.7087365772022025e-05
1.0,54,2.7908151507487603e-06,3.3616417913484795e-05
1.0,55,2.5298439541031346e-06,3.0472548469187617e-05
1.0,56,2.2934249882292964e-06,2.7624522740373484e-05
1.0,57,2.079220719954763e-06,2.5044162168698652e-05
1.0,58,1.8851210966963717e-06,2.2706032660899297e-05
1.0,59,1.7092205560754904e-06,2.0587166819469362e-05
1.0,60,1.54979750239876e-06,1.8666816048274785e-05
1.0,61,1.4052959618792894e-06,1.692622903175026e-05
1.0,62,1.2743091660159929e-06,1.5348453544505774e-05
1.0,63,1.1555648441539833e-06,1.3918158933656313e-05
1.0,64,1.0479120339307224e-06,1.2621476953476727e-05
1.0,65,9.503092417040775e-07,1.1445858916842564e-05
1.0,66,8.618138053393998e-07,1.0379947374707642e-05
1.0,67,7.815723296278382e-07,9.41346075243744e-06
1.0,68,7.088120794902898e-07,8.537089552706277e-06
1.0,69,6.42833229824397e-07,7.742402901038729e-06
1.0,70,5.830018821185533e-07,7.0217643468494016e-06
1.0,71,5.287437682577355e-07,6.368255957773488e-06
1.0,72,4.795385708216679e-07,5.775609852688664e-06
1.0,73,4.34914796860926e-07,5.238146411963978e-06
1.0,74,3.94445149142284e-07,4.750718488315624e-06
1.0,75,3.5774234470525404e-07,4.308661012494613e-06
1.0,76,3.2445533609866314e-07,3.907745454906341e-06
1.0,77,2.9426589529102044e-07,3.544138660215901e-06
1.0,78,2.668855243619547e-07,3.214365621740971e-06
1.0,79,2.420526609454366e-07,2.915275809132064e-06
1.0,80,2.195301495365493e-07,2.644012700806587e-06
1.0,81,1.9910295288056718e-07,2.3979862101345884e-06
1.0,82,1.8057608008388486e-07,2.174847723620309e-06
1.0,83,1.637727105944793e-07,1.9724674996054068e-06
1.0,84,1.485324951630986e-07,1.7889141997284122e-06
1.0,85,1.3471001689328208e-07,1.6224363494748695e-06
1.0,86,1.221733969797222e-07,1.471445542155235e-06
1.0,87,1.1080303144781822e-07,1.3345012213158238e-06
1.0,88,1.0049044636117952e-07,1.2102968905125306e-06
1.0,89,9.113726034059364e-08,1.0976476159805968e-06
