time_instant,iteration,absolute_error_norm,relative_error_norm
1.0,1,0.03726526563073151,0.15190247479471322
1.0,2,0.025687422613395784,0.10457636808624021
1.0,3,0.018601718278745082,0.07531500729571976
1.0,4,0.010809139966062824,0.04371233931534244
1.0,5,0.008410765501597896,0.03405453929579233
1.0,6,0.005555382125746578,0.02251125039735425
1.0,7,0.003704482132607234,0.015014581047785662
1.0,8,0.002862963150726235,0.011598166447152468
1.0,9,0.0022078038626421235,0.008936242975420668
1.0,10,0.001679122871989672,0.006789432207619608
1.0,11,0.0012913893121279376,0.005215985434646443
1.0,12,0.0010218046950809215,0.004122573769041995
1.0,13,0.0008350175038298657,0.0033653342627380407
1.0,14,0.0007007175852760654,0.0028211803186982227
1.0,15,0.0005990958595546964,0.0024097367308217646
1.0,16,0.0005186990988317641,0.002084527339550925
1.0,17,0.00045299727221138875,0.0018190321411887549
1.0,18,0.00039809037114105396,0.0015973935444451356
1.0,19,0.0003514888632183305,0.0014094774605168177
1.0,20,0.0003114969604490075,0.0012483754115848325
1.0,21,0.0002768940678313893,0.001109113310616593
1.0,22,0.0002467625536625237,0.0009879523625197053
1.0,23,0.000220389509670691,0.0008819895481401801
1.0,24,0.00019720741754886001,0.0007889158268705053
1.0,25,0.00017675619543053767,0.0007068611657821056
1.0,26,0.00015865760196122846,0.0006342898668840739
1.0,27,0.000142597187311623,0.0005699266840862231
1.0,28,0.00012831110979648596,0.0005127028323443677
1.0,29,0.00011557624356840048,0.0004617154737281874
1.0,30,0.00010420260111376028,0.0004161966929953547
1.0,31,9.402743394659656e-05,0.00037548935717001916
1.0,32,8.491057842248759e-05,0.000339028083817873
1.0,33,7.673074206469969e-05,0.00030632406798364277
1.0,34,6.938251064020655e-05,0.00027695286533007394
1.0,35,6.277391432840935e-05,0.0002505444673891534
1.0,36,5.682443223835424e-05,0.00022677517284731404
1.0,37,5.146334394542842e-05,0.0002053608796628313
1.0,38,4.662835820797984e-05,0.0001860515111590467
1.0,39,4.226446493194538e-05,0.0001686263546509844
1.0,40,3.832296834902499e-05,0.00015289014009246514
1.0,41,3.476066836637081e-05,0.00013866972321234302
1.0,42,3.15391638966393e-05,0.00012581126578005953
1.0,43,2.8624257250237235e-05,0.00011417782731832386
1.0,44,2.5985442753031584e-05,0.00010364729935515557
1.0,45,2.3595465947663496e-05,9.411062643200099e-05
1.0,46,2.1429942248689268e-05,8.547026839930408e-05
1.0,47,1.946702591664652e-05,7.76388667166863e-05
1.0,48,1.768712180798158e-05,7.053808400252944e-05
1.0,49,1.6072633639872517e-05,6.409759133103167e-05
1.0,50,1.4607743545457934e-05,5.825418201828845e-05
1.0,51,1.3278218538378993e-05,5.295099408896984e-05
1.0,52,1.2071240198785388e-05,4.8136826448093766e-05
1.0,53,1.0975254459883719e-05,4.3765536097302996e-05
