time_instant,iteration,absolute_error_norm,relative_error_norm
0.01,1,0.0001624410759914312,0.0017677571133924883
0.01,2,0.00013277151451654214,0.0014452343661393982
0.01,3,0.00010993412552147719,0.0011968916356682477
0.01,4,9.222583445037431e-05,0.0010042660125358725
0.01,5,7.872399010649263e-05,0.0008573625340202197
0.01,6,6.868873711036322e-05,0.0007481585947230868
0.01,7,6.145395991269867e-05,0.0006694221426868479
0.01,8,5.64057286417345e-05,0.0006144808317355362
0.01,9,5.2994074022312756e-05,0.0005773530945913843
0.01,10,5.075410773778499e-05,0.0005529802791256502
0.01,11,4.93187780671559e-05,0.000537367095255877
0.01,12,4.841628820218384e-05,0.0005275545084852971
0.01,13,4.785577374447529e-05,0.000521464353810447
0.01,14,4.750839920049748e-05,0.0005176937749204077
0.01,15,4.728957971002623e-05,0.0005153217504578453
0.01,16,4.7145097647911455e-05,0.0005137579537062752
0.01,17,4.704079573567154e-05,0.0005126305217479305
0.01,18,4.6955455194711744e-05,0.0005117084959502581
0.01,19,4.6876062713736395e-05,0.0005108502735181138
0.01,20,4.679473763475105e-05,0.0005099701396032183
0.01,21,4.670676917931672e-05,0.0005090168895345164
0.01,22,4.66093781367848e-05,0.0005079603421128876
0.01,23,4.6500943989456934e-05,0.0005067829227553936
0.01,24,4.63805277984998e-05,0.0005054744682744577
0.01,25,4.624758143344086e-05,0.0005040290613885454
0.01,26,4.610177330938563e-05,0.0005024431342052732
0.01,27,4.594284215337625e-05,0.0005007138766043178
0.01,28,4.577030761895437e-05,0.0004988360839959012
0.01,29,4.558364080463848e-05,0.000496804017045524
0.01,30,4.538236227920006e-05,0.0004946124711417468
0.01,31,4.5166026866322854e-05,0.0004922566114799858
0.01,32,4.493422037983176e-05,0.0004897319382223209
0.01,33,4.4686561251496916e-05,0.0004870343048419282
0.01,34,4.442264035399364e-05,0.00048415926274743965
0.01,35,4.4141834006743966e-05,0.00048110002362135946
0.01,36,4.38435353570936e-05,0.0004778499815322786
0.01,37,4.35272266590933e-05,0.0004744035009769924
0.01,38,4.319247519587845e-05,0.0004707558726573419
0.01,39,4.283893410693828e-05,0.0004669033226726395
0.01,40,4.24663442928472e-05,0.00046284303341851936
0.01,41,4.207453636759142e-05,0.00045857316497306964
0.01,42,4.1663432261792865e-05,0.0004540928726513251
0.01,43,4.123304629142213e-05,0.00044940231871135907
0.01,44,4.0783485596052205e-05,0.00044450267716963633
0.01,45,4.0314949895690216e-05,0.0004393961311730898
0.01,46,3.9827730541474194e-05,0.00043408586266108917
0.01,47,3.932220885327761e-05,0.0004285760342436802
0.01,48,3.8798850001843756e-05,0.0004228717225095824
0.01,49,3.825808725432984e-05,0.0004169776563885418
0.01,50,3.770031613467757e-05,0.00041089815347837626
0.01,51,3.712604294468413e-05,0.00040463873877005714
0.01,52,3.653588016467403e-05,0.00039820609448658784
0.01,53,3.5930536493125874e-05,0.00039160795148652806
0.01,54,3.531080856574971e-05,0.00038485299897048195
0.01,55,3.4677572992729206e-05,0.00037795079765436595
0.01,56,3.403177794678338e-05,0.0003709116880470299
0.01,57,3.337438177595172e-05,0.0003637461213532089
0.01,58,3.270629448294806e-05,0.00035646402162547
0.01,59,3.2028491372706256e-05,0.0003490760243795022
0.01,60,3.1342015336834375e-05,0.00034159350146043986
0.01,61,3.064796339306083e-05,0.0003340284143056773
0.01,62,2.9947475241858212e-05,0.000326393189197229
0.01,63,2.9241722615343387e-05,0.0003187006011535718
0.01,64,2.8531899116549424e-05,0.000310963663170744
0.01,65,2.7819210475978137e-05,0.00030319552001625074
0.01,66,2.7104865234111693e-05,0.00029540934667043536
0.01,67,2.6390065890117652e-05,0.00028761825185379266
0.01,68,2.5676000567557323e-05,0.00027983518719385436
0.01,69,2.4963835248464934e-05,0.000272072862591256
0.01,70,2.4254706622429632e-05,0.00026434366829290056
0.01,71,2.3549715589657057e-05,0.0002566596040966278
0.01,72,2.2849921447762684e-05,0.0002490322160112088
0.01,73,2.215633678202532e-05,0.00024147254058619685
0.01,74,2.14699230686373e-05,0.00023399105701506586
0.01,75,2.07915869905255e-05,0.00022659764700647822
0.01,76,2.012217745585713e-05,0.000219301562315426
0.01,77,1.946248330069938e-05,0.0002121113997317854
0.01,78,1.8813231636107055e-05,0.00020503508309285766
0.01,79,1.8175079250343587e-05,0.00019807976960808002
0.01,80,1.7548599963190984e-05,0.00019125171206887804
0.01,81,1.6934308633222217e-05,0.0001845565205181258
0.01,82,1.633266534306541e-05,0.00017799920788785496
0.01,83,1.5744074730793487e-05,0.0001715841827359759
0.01,84,1.5168886286114993e-05,0.00016531525249676734
0.01,85,1.4607395243946759e-05,0.00015919563324061866
0.01,86,1.405984393109511e-05,0.00015322796437051414
