time_instant,iteration,absolute_error_norm,relative_error_norm
0.01,1,0.00028957662587226796,0.004726948583424806
0.01,2,0.00029038633855201504,0.0047430800321045866
0.01,3,0.0002993473978328333,0.004892456525599446
0.01,4,0.0003165947238212075,0.005177571610117927
0.01,5,0.0003450800207332825,0.005647051179755109
0.01,6,0.0003904608925397513,0.006394021006736359
0.01,7,0.00046351389151432214,0.007595887387796582
0.01,8,0.000586142978861361,0.009613410130903905
0.01,9,0.0008049863842893263,0.013215438724720046
0.01,10,0.0012032327446475724,0.019776758845853264
0.01,11,0.0016755963810359247,0.027580369476743295
0.01,12,0.0011988755954703172,0.01975956533242016
0.01,13,0.0006447870995038665,0.010629926932216848
0.01,14,0.0004904974512327304,0.008083721908012539
0.01,15,0.0003680179064145481,0.006063424561666103
0.01,16,0.00027791027886426753,0.004577881056461971
0.01,17,0.00020899120801459,0.003442114052445648
0.01,18,0.00015523247576269218,0.002556443998642815
0.01,19,0.00011386421759612285,0.001875047901788997
0.01,20,8.289071760581174e-05,0.0013649421626741197
0.01,21,6.03973610506252e-05,0.0009945316558801274
0.01,22,4.45847474515467e-05,0.0007341516935221987
0.01,23,3.390526783368866e-05,0.0005583030447959121
0.01,24,2.7113752516213936e-05,0.0004464765458130101
0.01,25,2.3230415253890474e-05,0.0003825374198228789
0.01,26,2.1483311574009012e-05,0.00035377491257906294
0.01,27,2.1294757824909487e-05,0.0003506773891630731
0.01,28,2.2300367696803493e-05,0.00036724544176910566
0.01,29,2.434998548778963e-05,0.0004010073457094945
0.01,30,2.7487326556857706e-05,0.00045268403981189756
0.01,31,3.193878755010787e-05,0.0005260051529068436
0.01,32,3.812797496031224e-05,0.0006279486052304834
0.01,33,4.669731701667429e-05,0.000769096931330473
0.01,34,5.8425047845365084e-05,0.0009622704554428902
0.01,35,7.360331188830459e-05,0.0012122846756296316
0.01,36,8.963902524780768e-05,0.00147643326181123
0.01,37,9.610132466224984e-05,0.0015829068684925307
0.01,38,7.79250409234604e-05,0.0012835450163485261
0.01,39,4.249439194276447e-05,0.0006999569282408434
0.01,40,1.6781361909395035e-05,0.0002764204853654113
0.01,41,7.0109124074656215e-06,0.00011548347067943803
0.01,42,4.687438307291129e-06,7.721164700383034e-05
0.01,43,3.917661563764678e-06,6.453212770231847e-05
0.01,44,3.378309151732612e-06,5.5648071218091056e-05
0.01,45,2.92287651937599e-06,4.8146274185241605e-05
0.01,46,2.5305584641492634e-06,4.1684051259800837e-05
0.01,47,2.1917366401587035e-06,3.610298379083842e-05
0.01,48,1.8988524110873706e-06,3.1278577089687954e-05
0.01,49,1.6455407116869909e-06,2.7105994056179987e-05
0.01,50,1.4263743130077536e-06,2.3495843387590293e-05
0.01,51,1.2366981871676971e-06,2.037145177413769e-05
0.01,52,1.0725057004761467e-06,1.7666824972255866e-05
0.01,53,9.303415125366613e-07,1.5325048684670732e-05
0.01,54,8.072226848779168e-07,1.3296989313084589e-05
0.01,55,7.005728824720734e-07,1.1540210317498868e-05
0.01,56,6.081665346501074e-07,1.0018052579935638e-05
0.01,57,5.280809607913857e-07,8.698845927499272e-06
0.01,58,4.586551040461727e-07,7.555229474913753e-06
0.01,59,3.9845387538036893e-07,6.56356435890028e-06
0.01,60,3.4623732168854184e-07,5.703425918431856e-06
0.01,61,3.009339672707732e-07,4.957164606495662e-06
0.01,62,2.6161777404603503e-07,4.309526500637657e-06
0.01,63,2.274882405422323e-07,3.7473255087466344e-06
0.01,64,1.978532215367395e-07,3.259160384484817e-06
0.01,65,1.721141033830018e-07,2.835170542009779e-06
0.01,66,1.4975301668475865e-07,2.4668254273172408e-06
0.01,67,1.3032180906553715e-07,2.1467428800472266e-06
0.01,68,1.1343253709158312e-07,1.8685325175085307e-06
0.01,69,9.874926837173003e-08,1.6266606990632036e-06
