time_instant,iteration,absolute_error_norm,relative_error_norm
1.0,1,0.009964846496705272,0.2437179814131561
1.0,2,0.005245120670832788,0.11960356003566769
1.0,3,0.0034516822052702194,0.07975423022675335
1.0,4,0.001996235003336844,0.04695671797322264
1.0,5,0.0011267516058361907,0.026965181470620353
1.0,6,0.0005915052167154063,0.014275976033384766
1.0,7,0.00032191184684972145,0.007779284347537237
1.0,8,0.00019047226451209798,0.004595970547463199
1.0,9,9.985140983534924e-05,0.002406497869666784
1.0,10,5.146581090369622e-05,0.001240123449910331
1.0,11,2.9580043071118844e-05,0.00071291627968052
1.0,12,1.4973891684043313e-05,0.00036094243772490786
1.0,13,7.958910233432804e-06,0.00019184912599974467
